complex_name
шанырак 2
отрада
smart city
жарык
соло
vela town
aitys
akbulak hills
премиум
green house
асем кала
оркендеу
ак ниет
green village
янтарный
real comfort
парковый
сатты 7
алтын арна
kinghouse
arman deluxe
восток 2
восток (бахус)
ак сарай
pioneer
parkhouse
victoria palace
министерский
remark
арабика
ак сарай 2
атриум
дударай
orda tower
g park premium
авеста
акбулак nak
арай 3
garden village
авиценна элит
luxury home
bi village (коттеджный городок)
asyl arman
family village (кг)
mangilik el
север
жайлау
viland house
sanzhar premium deluxe
альтаир
жастар (ул. достык)
bi village deluxe
изумрудный квартал
the arc residence
vivere
скандинавия
сымбат
sultan apartments
эдельвейс
молодая семья 2
жасмин 2
восточный 2
золотой дом
сункар
бахус 1
space project
river park (коттеджный городок)
чубары
алтын жиек
факультет
по республики
esil apartments
южный
тамыр
по тлендиева/с 302
радиоцентр
империя
бавария
парижский квартал
дуэт
айгерим
привокзальный
one house
колос
тулпар 2
дарус
нордхаус
еркежан
castle house
аягоз
победа
алем
асар
sensata
solar city
мадиленд
нурлы дала
астана сити
триумфальная арка
клубный дом 56
кайнар 2
черемушки
статус 2
abu dhabi plaza
5 звёзд
5 элемент
престиж
алем (асем кала)
у триумфальной арки
ecopark
asylym park 1
лесная поляна
рио де жанейро
sezim qala
dastur
besterek
capital park
мадрид 2
сердце столицы
мкрн отау
самгау
баскару 2
sharyn
елорда даму мжк по ул. е16
greenline.tokyo
мжк астана
atlant
jetisu.aqsu
athletic city
vip городок saranda
амирель
landmark
поколение
сенатор park
headliner exclusive
greenline.flora
respublika
табысты
alatau park
garden view
zaman
aman
four seasons
центральный сквер
женева
жагалау 4
vienna
turan palace
arena city
фирдаус
столичный 2
prime
mod.standard
ayana plaza
europe city
w towers
ostrov.4life
madi
uly dala avenue
даулеткерей
zauzar
nexpo classic
a city
royal expo apartments
tamerlan
grand victoria 2
new line
жанаарка
sunset avenue
greenline.aqua
багыстан
baitas
aiva
discovery
imran
safar
evolution
tasty
la vie
vivaldi
aiqyn
zurich
megapolis
monaco residence
rauda
izet
cosmic city
akbulak riviera
aisar
barakat
yrys
greenline.viva
green house premium
manar
dara residence
tumar gold
акерке 2
yasin
austria
nexpo union
saratan
amanat
washington
samal park
silver
golden residence
arena towers
апарт отель ye's astana
tumar residence
onyx comfort
aruna city
amal
sultan beibarys
balgyn
snegiri
tumar exclusive
jetisu.kerbez
greenline.atmosfera
zangar
мирадж
helsinki
lisbon
azure
satty jol
kerim
оазис
dublin
assyl tau
pride
nexpo trend
arti7
tengri
sarmat
гималай
arena garden
talmas
tumar club
arai towers
istanbul
onai
самгау city
gasyr
aqzam
оберег
hokkaido
river city
auen
safia
q way
novopolis
hayat
kings land residence
river park
west side
kerey comfort
parkside
grand turan avenue
eva
green town
kokshebel
delta
парус
safuan
яссауи
atamura
испанский дворик
aviator 2
family house
hanzada
мынжылдык
argymaq
altyn besik
tengri city jassyl
sardar city
sati park house
royal house
мадрид 3
diana
honnete
aq shanyraq
energy
boston comfort house 2
khan residence
otbasy
tumar grand village
qazanat 2
sapsan
shugyla
ferdinand
атамари
turan house
golf village
florence
туран халык уй
vela house
monaco terrace
nura elite
аскер
коргалжинский квартал
burabay 2
r club deluxe
iconic
park lane residence
assylkhan
зере 2
jm city dom park
palladium
легенда
euro house
шымкент сити
riviera
ек 17
ак отау 3
аскер 2
sirocco
лея коктал
mangilik residence
jaisan
uly dala
акыртас
sezim qala.shattyq
vivat village
самрук байтерек
лея уют
asylym exclusive
new city
kok tobe
the one
vela village
r club
kolsai
mod.comfort
арай 1
atlant unique
sezim qala.baqyt
sezim qala.baqyt towers
sezim qala.senim
capital park.flowers
capital park.light
capital park.water
времена года. зима
времена года. осень
времена года. лето
времена года. весна
the one
по тулебаева
зор табыс
ferrum city
апартаменты the st. regis astana
dauletti qalashyq
астана сәні 2
aq bastay
отель дипломат
черёмушки
норд
на кенесары сембинова
сказка по ул. байтурсынова
green garden
ala tau comfort
новые черёмушки
феникс
жубанова
мкр самал
лея за рекой
сарайшик
happy land
денсаулык бакыт
алтын булак
эльнара
по 188 ой улице
молодая семья
по кошкарбаева
